Kilde,Kildetype,Titel,Dato,Hovedpointe,Kategori,Trend-ID,URL
BCG,Konsulenthus,"AI at Work: Why Strategy Matters More Than Tools (4. udg., ~12.000 resp.)",2026-06-02,"74% frontline bruger AI; 42% sparer en arbejdsdag/uge, men 66% får ingen guidance til den frigjorte tid. Strategisk klarhed slår tool-adgang. Mål værdi, ikke adoption.",Team ways of working,"T1, T5, T15",https://www.bcg.com/publications/2026/ai-at-work-why-strategy-matters-more-than-tools
BCG,Konsulenthus,Samme rapport - agents & governance,2026-06-02,"84% kender agenter; integration fordoblet YoY (30%); 50% mangler governance for human×AI-teams. Joy paradox: 2/3 gladere, 41% mere mentalt belastede; 72% oplever ændrede skill-krav, kun 36% føler sig opkvalificeret.",Governance & sikkerhed,"T10, T15",https://www.bcg.com/publications/2026/ai-at-work-why-strategy-matters-more-than-tools
BCG,Konsulenthus,Agentic AI Turns Every Team into Its Own Transformation Engine,2026-06-19,"Transformation bliver distribueret og team-ledet: hundredvis af små lokale genopfindelser i parallel, rettet mod 2-3 strategiske domæner. AWS-case: 27% flere features via peer-engineers og outcome-målet features i produktion.",Team ways of working,"T5, T19",https://www.bcg.com/publications/2026/agentic-ai-turns-every-team-into-its-own-transformation-engine
BCG,Konsulenthus,AI-First Enterprise Operations,2026-06-15,"Agenter kan skære proceskost 60%+, men kun end-to-end redesign adskiller vindere (60%) fra laggards (<20%). 60% af orgs har endnu ikke fanget materiel værdi i skala.",Workflow idé→launch,T5,https://www.bcg.com/publications/2026/reinventing-the-operating-system-of-work-with-ai
McKinsey,Konsulenthus,AI-native development: Rethinking software from the ground up,2026-07-29,"AI-assisted coding (20-50% gevinst) er kun en brøkdel af skiftet. Nye roller (AI platform architect, model governance officer); QA→scenariedesign; tværfaglige pods. Benchmark-evidens stadig umoden.",Roller & skills,"T7, T18",https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/tech-forward/ai-native-development-rethinking-software-from-the-ground-up
McKinsey,Konsulenthus,Is that AI agent worth it? Agentic economics,2026-07-13,"93% af enterprises overskred AI-budgettet. Agentiske opgaver ~1000x tokens vs chat; ~60% af omkostningen er tjek/reparation; samme opgave varierer 30x i pris. Styr maskinarbejde som kapital; mål outcomes, ikke tokens.",Adoption & ROI,"T13, T1",https://www.mckinsey.com/capabilities/quantumblack/our-insights/is-that-ai-agent-worth-it-agentic-economics-and-the-modern-operating-model
McKinsey,Konsulenthus,The cost of intelligence (AI FinOps),2026-07-20,AI-spend stiger ~4x ved enterprise-skalering; kun 20-25% har moden AI FinOps; prompt caching kan skære op til 90% af gentagne input-tokens. AI control plane som system of record. Tokenmaxxing bliver et fyord.,Adoption & ROI,T13,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-cost-of-intelligence-how-cios-can-manage-ai-demand-at-scale
McKinsey,Konsulenthus,Rewiring customer experience for the agentic era,2026-07-14,"CX er der agentic skalerer: 41% af deployments når fuld skala (3,5x andre domæner) pga. observerbare workflows + human-in-the-loop. Advarsel: uden redesign skalerer AI blot det eksisterende, inkl. inkonsistens.",Getting started / lavthængende frugter,"T19, T5",https://www.mckinsey.com/capabilities/growth-marketing-and-sales/our-insights/rewiring-customer-experience-for-the-agentic-era
McKinsey,Konsulenthus,Beyond productivity: How AI creates value in private equity,2026-06-23,471 PE-selskaber: produktivitets-AI giver ingen multipel-præmie (13-14x); AI embedded i produkt 20x; AI business building 31x. Kræver proprietær data + integreret operating model.,Adoption & ROI,T22,https://www.mckinsey.com/capabilities/business-building/our-insights/beyond-productivity-how-ai-creates-value-in-private-equity
Bain,Konsulenthus,The Rise of the AI Development Life Cycle,2026-06-04,PM/dev-skellet kollapser i én ADLC. Forventninger 5-10x (surveys n=205/293) - men de fleste ser encifrede gevinster fordi de optimerer én aktivitet. Udviklere bliver agent-arkitekter; DORA-metrics skal splittes på forfatterskab (menneske/agent).,Workflow idé→launch,"T7, T18, T13",https://www.bain.com/insights/the-rise-of-the-ai-development-life-cycle/
Bain,Konsulenthus,Proprietary Intelligence: How to Win with AI,2026-06-25,"82% af CEO'er: resultater højst delvist realiseret. Flywheel: proprietær data skærper agenter, agenter skærper folk, folk redesigner arbejdet. Citat: De fleste CEO'er tror de leder en AI-transformation, men de administrerer en portefølje af piloter.",Organisation & ledelse,"T1, T22",https://www.bain.com/insights/proprietary-intelligence-how-to-win-with-ai/
Bain,Konsulenthus,"Agentic AI Governance, Risk, and Controls",2026-07-28,"Controls som kode i platform: agent-registry, least privilege, blast-radius-grænser, spend caps, TESTEDE kill switches. Flest agent-fejl er kontekst/supply-chain, ikke modellen. Start narrower than you think.",Governance & sikkerhed,"T10, T11, T19",https://www.bain.com/insights/agentic-ai-governance-risk-and-controls-for-business-leaders/
Bain,Konsulenthus,Is Your AI Transformation Forgetting the Front Line?,2026-07-08,"Automatisering er table stakes; augmentering af dine bedste kundevendte folk er det ukopierbare træk. Start med topperformere og vis champions at AI gør dem bedre, ikke overflødige.",Team ways of working,"T5, T15",https://www.bain.com/insights/is-your-ai-transformation-forgetting-the-front-line/
Bain,Konsulenthus,Bain named OpenAI Elite Partner (pressemeddelelse),2026-07-20,Bain er nu topniveau-partner i OpenAI Partner Network og investor i OpenAI Deployment Company. OBS: Bains rådgivning er ikke vendor-neutral.,Agentic AI & tooling,T20,https://www.bain.com/about/media-center/press-releases/2026/bain-company-named-an-openai-elite-partner/
Gartner,Konsulenthus,AI coding costs will surpass average developer salary by 2028,2026-06-24,"Token-forbrug eksploderer under consumption-pricing. Remedier: opgaveklassificering (dev-led/med-agent/agent-led), model-routing, context-engineering-træning, token-tærskler, token-review i sprint-retros.",Adoption & ROI,T13,https://www.gartner.com/en/newsroom/press-releases/2026-06-24-gartner-predicts-ai-coding-costs-will-surpass-average-developer-salary-by-2028-as-token-consumption-surges
Gartner,Konsulenthus,60% of organizations will adopt tiny software engineering teams by 2029,2026-07-07,"Tiny teams: 4-5 personer (PM + AX/agent experience-designer + AI-native engineer), rollegrænser kollapser. Advarsel: skærer man juniorer, udhuler man talent-pipelinen inden 2028.",Roller & skills,"T7, T14",https://www.gartner.com/en/newsroom/press-releases/2026-07-07-gartner-predicts-60-percent-of-organizations-will-adopt-smaller-software-engineering-teams-by-2029
