ID,Trend/pointe,Uddybning,Kategori,Enige (kilder),Uenige / nuancer,Konfidens,Publikumsspørgsmål,Note til webinar
T1,"Adoption er ikke værdi - alle bruger AI, få får outcomes","Den mest triangulerede pointe i vinduet: 74-88% bruger AI regelmæssigt, men kun ~39% af organisationer ser EBIT-effekt (oftest <5%), 6% kan pege på org-bred ROI (Atlassian), 80% af CEO'er er utilfredse (Bain). Mål outcomes (cycle time, beslutningskvalitet), ikke adoption.",Adoption & ROI,"BCG, Deloitte, Bain, McKinsey, Gartner, Cagan, Perri, bred presse - 5/5 konsulenthuse + influencers",Ingen reelle. Vendors (Anthropic/OpenAI) toner det ned men modsiger ikke,Høj,Hvor skal vi passe på?,"Sikker grund at stå på. Åbningsbudskab: I er ikke bagud, næsten ingen har knækket koden endnu"
T2,Speed uden outcomes er den definerende fejlmode - build trap bliver større,"Cagans AI Productivity Paradox (jul 2026): AI accelererer den gamle projektmodel, så man løber 10x hurtigere i den forkerte retning (Gridley-citat). Perri: leveringen af designs/kode blev hurtig - levering af gode beslutninger er den nye flaskehals.",Workflow idé→launch,"Cagan, Perri, Torres, Herbig, Melissa Perri-survey (309 produktledere)",Ingen - konsensushistorien i juni-juli 2026 blandt PM-eksperter,Høj,Hvad er AI god til / ikke god til?,"Stærk rød tråd for hele webinaret: fart er ikke problemet, retning er"
T3,"AI er en multiplikator, ikke en equalizer - store organisationer konverterer dårligst","Perri-data: modne operating models er 1,7x mere tilbøjelige til at blive styrket af AI; orgs 500+ ansatte kun 20% styrket vs 48% hos små. Cagan indrømmer hans equalizer-forudsigelse var forkert. Lenny-survey: destabilisering størst i store firmaer.",Organisation & ledelse,"Perri (data), Cagan, Lenny/Segal-survey, BCG",Ingen direkte,Høj,Hvor skal vi passe på?,Rammer publikum direkte: store stabile firmaer ER risikosegmentet. God wake-up pointe
T4,Flaskehalsen er flyttet fra produktion til verifikation og dømmekraft,"Anthropic: ingeniører shipper ~8x kode, verifikation er nu det knappe. Deloitte: judgment paradox + mennesker degenererer til passive validatorer. Universel enighed: den knappe menneskelige færdighed er at evaluere, ikke producere. Taste/product sense/systems thinking som topskill.",AI styrker/begrænsninger,"Anthropic (Fung), Perri, Torres, Herbig, Netflix (Stone), OpenAI (Ambrosino), Deloitte, HBR",Ingen,Høj,Hvordan arbejder et rigtig godt AI-team?,"Kernen i hvordan gode teams arbejder: quality gates, review-kultur, AI-tjekker-AI før menneske"
T5,Arbejdet skal redesignes end-to-end sammen med teams - ikke AI drysset over gamle processer,"McKinsey: AI skalerer det der findes, inkl. inkonsistens. BCG: 60%+ procesbesparelse hos dem der redesigner vs <20% hos resten. Bain: enkelt-aktivitets-optimering flytter bare flaskehalsen. Matcher Syndicates egne pointer om mikroproduktivitets- og skrivebordsredesign-fælden.",Team ways of working,"BCG, McKinsey, Bain, Deloitte, Moatti/Forbes, HBR, Cagan, Perri - total konvergens",Uenighed kun om forandringsmodel: BCG distribueret team-ledet vs McKinsey/Bain mere centralt styret,Høj,Hvordan arbejder et rigtig godt AI-team?,Syndicates hjemmebane. Direkte bro til jeres blogindlæg
T6,Team-AI-setup slår individuel AI - ingen forsvarer alle-har-hver-deres-chatbot,"Perri: funktionsspecifik træning øger fluency-gap, tværfunktionel træning komprimerer det. Herbig: accelerated context (delt kontekst/hukommelse) er den varige gevinst. Produktkategorien AI-teammate i kanalen (Claude Tag jun, ChatGPT Work jul) gør det konkret.",Team ways of working,"Perri, Herbig, Matthews/Lenny, Anthropic, BCG, Figma-data (41% siger AI ændrer samarbejdet)","Ingen forsvarer individuel model. Torres nuancerer: start individuelt og simpelt, byg infrastruktur senere",Høj,Hvordan undgår vi at alle sidder med hver deres AI?,"Direkte svar på et af publikums hovedspørgsmål. Konkrete mønstre: delt kontekst, fælles prompts/skills, AI i teamkanalen, tværfaglig træning"
T7,Små tværfaglige human+agent-pods - rollegrænser flyder,"Gartner: 60% af orgs har tiny teams (4-5 pers., PM + AX-designer + AI-native engineer) i 2029. Bain: hybrid-agentic pods afløser 1 PM + 6-8 udviklere. Figma-data: udviklere der designer 44→60%, designere der koder 21→41% på ét år.",Roller & skills,"Gartner, Bain, McKinsey, Figma (8.403 svar), Forbes/Products That Count, Netflix","Tempo og omfang usikkert; Gartner-tal er forudsigelser, ikke målinger",Medium,Hvordan samarbejder man på tværs af roller?,"Retningen er sikker, tallene er prognoser - sig det ærligt"
T8,Koordinator-PM'en er død - men hvad rollen bliver til er omstridt,"Enighed: PM som koordinator/ceremonimester forsvinder. Uenighed om afløseren: builder der shipper PRs (Matthews, Ambrosino), systems thinker/beslutningsejer (Perri, Stone) eller discovery- og dømmekraftsspecialist (Torres, Cagan, Herbig). Forbes: PM-roller -30%, product builders 3x (enkeltkilde!).",Roller & skills,Alle enige om at koordinatorrollen fader,Aktiv uenighed om fremtidsrollen: builder vs systems thinker vs discovery-specialist. Forbes-tal er single-source,Omstridt,Hvordan samarbejder man på tværs af roller?,Fortæl publikum at dette er i hastig bevægelse - præsentér de tre bud
T9,Prototype-først vs discovery-først er sommerens skarpeste faglige uenighed,"OpenAI (Ambrosino): AI har inverteret produktarbejdet - byg først, kuratér bagefter. Cagan/Torres: build-to-learn skal gates af discovery-evidens; billige prototyper gør interviews VIGTIGERE (Wille: det har aldrig været nemmere at bygge middelmådig software).",Workflow idé→launch,"Prototype-først: OpenAI, delvist Lenny-økosystemet. Discovery-først: Cagan, Torres, Herbig","Netflix (Stone) i midten: AI accelererer prototyper, dyb craft afgør",Omstridt,Hvordan arbejder et rigtig godt AI-team?,"Perfekt til et både-og: brug AI-prototyper SOM discovery-værktøj, men behold evidens-gates"
T10,"Governance skal være indbygget i platform og workflow - enabler, ikke bremse","Bain: regler som kode i control plane; agenter behandles som medarbejdere (identitet, least privilege, testede kill switches - utestet rollback er et håb, ikke en kontrol). Deloitte: forankring på workflow-niveau med navngiven ejer, ellers forbliver governance et policy-dokument. Kun 7-21% er audit-ready.",Governance & sikkerhed,"Bain, Deloitte, Gartner (tiered efter autonomi), McKinsey (control plane), BCG, Anthropic (egen SDLC som eksistensbevis), Torres (Hertility-case)",Uenighed kun om forankringspunkt: platform (Bain) vs workflow-ejer (Deloitte) vs autonomi-tiers (Gartner),Høj,Hvordan med sikkerhed og governance?,Reframe til publikum: governance er det der gør at man TØR give agenter autonomi
